environment,image_id,plotNumber,genotype,score_A,score_B,human_score,comment_A,comment_B
Nebraska2025,2171_LeafPhotoA_2025-09-09 12_07_17.437,2171,PI153846,3.5,,3.5,,
Nebraska2025,2171_LeafPhotoA_2025-09-09 12_07_31.059,2171,PI153846,3.5,,3.5,,
Nebraska2025,2171_LeafPhotoA_2025-09-09 12_07_43.929,2171,PI153846,3.0,,3.0,,
Nebraska2025,2171_LeafPhotoA_2025-09-09 12_11_29.526,2171,PI153846,3.5,,3.5,,
Nebraska2025,2172_LeafPhotoA_2025-09-09 12_11_45.293,2172,PI534146,3.5,,3.5,,
Nebraska2025,2172_LeafPhotoA_2025-09-09 12_11_57.132,2172,PI534146,2.5,,2.5,,
Nebraska2025,2173_LeafPhotoA_2025-09-09 12_13_18.928,2173,PI534053,3.0,,3.0,,
Nebraska2025,2173_LeafPhotoA_2025-09-09 12_14_11.365,2173,PI534053,3.5,,3.5,,
Nebraska2025,2173_LeafPhotoA_2025-09-09 12_14_23.103,2173,PI534053,2.0,2.0,2.0,,
Nebraska2025,2174_LeafPhotoA_2025-09-09 12_15_03.048,2174,PI595745,2.0,,2.0,,
Nebraska2025,2174_LeafPhotoA_2025-09-09 12_15_14.269,2174,PI595745,2.0,2.5,2.25,,
Nebraska2025,2174_LeafPhotoA_2025-09-09 12_15_26.621,2174,PI595745,3.5,,3.5,,
Nebraska2025,2175_LeafPhotoA_2025-09-09 12_16_04.953,2175,PI534060,2.5,,2.5,,
Nebraska2025,2175_LeafPhotoA_2025-09-09 12_16_18.005,2175,PI534060,3.5,,3.5,,
Nebraska2025,2175_LeafPhotoA_2025-09-09 12_19_13.536,2175,PI534060,2.5,,2.5,,
Nebraska2025,2176_LeafPhotoA_2025-09-09 12_19_48.658,2176,PI595743,4.0,,4.0,,
Nebraska2025,2176_LeafPhotoA_2025-09-09 12_20_00.501,2176,PI595743,3.5,,3.5,,
Nebraska2025,2176_LeafPhotoA_2025-09-09 12_20_11.972,2176,PI595743,3.5,,3.5,,
Nebraska2025,2177_LeafPhotoA_2025-09-09 12_21_07.287,2177,PI659691,4.0,,4.0,,
Nebraska2025,2177_LeafPhotoA_2025-09-09 12_21_22.406,2177,PI659691,1.0,2.0,1.5,,
Nebraska2025,2177_LeafPhotoA_2025-09-09 12_21_32.834,2177,PI659691,2.5,3.5,3.0,,
Nebraska2025,2178_LeafPhotoA_2025-09-09 12_22_12.377,2178,PI656118,2.0,2.0,2.0,,
Nebraska2025,2178_LeafPhotoA_2025-09-09 12_22_40.647,2178,PI656118,3.0,,3.0,,
Nebraska2025,2178_LeafPhotoA_2025-09-09 12_23_02.870,2178,PI656118,2.0,,2.0,,
Nebraska2025,2179_LeafPhotoA_2025-09-09 12_23_30.000,2179,PI533919,3.5,,3.5,,
Nebraska2025,2179_LeafPhotoA_2025-09-09 12_23_39.813,2179,PI533919,3.0,,3.0,,
Nebraska2025,2179_LeafPhotoA_2025-09-09 12_23_49.478,2179,PI533919,4.5,,4.5,,
Nebraska2025,2180_LeafPhotoA_2025-09-09 12_24_28.651,2180,PI576371,3.0,,3.0,,
Nebraska2025,2180_LeafPhotoA_2025-09-09 12_24_37.417,2180,PI576371,2.5,,2.5,,
Nebraska2025,2180_LeafPhotoA_2025-09-09 12_24_48.677,2180,PI576371,2.5,,2.5,,
Nebraska2025,2181_LeafPhotoA_2025-09-09 12_25_24.274,2181,PI533840,2.5,,2.5,,
Nebraska2025,2181_LeafPhotoA_2025-09-09 12_25_36.041,2181,PI533840,3.5,,3.5,,
Nebraska2025,2181_LeafPhotoA_2025-09-09 12_25_47.850,2181,PI533840,4.0,4.5,4.25,,
Nebraska2025,2182_LeafPhotoA_2025-09-09 12_26_26.340,2182,SC0505,4.0,,4.0,,
Nebraska2025,2182_LeafPhotoA_2025-09-09 12_26_51.449,2182,SC0505,3.0,2.0,2.5,,
Nebraska2025,2183_LeafPhotoA_2025-09-09 12_27_52.179,2183,PI656038,2.5,,2.5,,
Nebraska2025,2183_LeafPhotoA_2025-09-09 12_28_05.907,2183,PI656038,3.0,,3.0,,
Nebraska2025,2183_LeafPhotoA_2025-09-09 12_28_17.472,2183,PI656038,3.5,,3.5,,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_28_52.400,2184,PI595726,2.0,,2.0,,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_29_02.951,2184,PI595726,1.5,1.0,1.25,broken,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_29_11.777,2184,PI595726,3.0,,3.0,,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_29_38.544,2184,PI595726,1.0,,1.0,,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_29_50.831,2184,PI595726,1.0,,1.0,,
Nebraska2025,2184_LeafPhotoA_2025-09-09 12_30_05.392,2184,PI595726,1.0,,1.0,,
Nebraska2025,2185_LeafPhotoA_2025-09-09 12_31_57.613,2185,PI533760,1.0,,1.0,mechanical damage,
Nebraska2025,2185_LeafPhotoA_2025-09-09 12_32_08.628,2185,PI533760,1.5,,1.5,,
Nebraska2025,2185_LeafPhotoA_2025-09-09 12_32_19.175,2185,PI533760,2.0,2.0,2.0,,
Nebraska2025,2186_LeafPhotoA_2025-09-09 12_31_03.766,2186,PI533794,3.0,,3.0,The concentric lesions may indicate the presence of Gloeocercospora sorghi,
Nebraska2025,2186_LeafPhotoA_2025-09-09 12_31_18.903,2186,PI533794,4.5,1.0,2.75,,Circular lesions with a chlorotic halo are characteristic of Cercospora sorghi
Nebraska2025,2186_LeafPhotoA_2025-09-09 12_31_28.944,2186,PI533794,4.0,1.0,2.5,,"Circular lesions, with or without a chlorotic halo, are characteristic of Cercospora sorghi"
Nebraska2025,2187_LeafPhotoA_2025-09-09 12_32_57.938,2187,,3.0,,3.0,,
Nebraska2025,2187_LeafPhotoA_2025-09-09 12_33_18.243,2187,,2.5,,2.5,,
Nebraska2025,2187_LeafPhotoA_2025-09-09 12_33_30.247,2187,,3.5,,3.5,,
Nebraska2025,2188_LeafPhotoA_2025-09-09 12_34_26.464,2188,SC0777,3.0,,3.0,,
Nebraska2025,2188_LeafPhotoA_2025-09-09 12_34_35.986,2188,SC0777,3.0,,3.0,,
Nebraska2025,2188_LeafPhotoA_2025-09-09 12_34_49.357,2188,SC0777,3.0,,3.0,,
Nebraska2025,2401_LeafPhotoB_2025-09-08 10_40_27.891,2401,PI534116,1.5,2.5,2.0,,
Nebraska2025,2401_LeafPhotoB_2025-09-08 10_40_48.911,2401,PI534116,3.0,,3.0,,
Nebraska2025,2401_LeafPhotoB_2025-09-08 10_41_06.278,2401,PI534116,3.0,,3.0,,
Nebraska2025,2402_LeafPhotoB_2025-09-08 10_41_29.920,2402,,1.0,1.0,1.0,,
Nebraska2025,2402_LeafPhotoB_2025-09-08 10_41_43.879,2402,,2.0,,2.0,,
Nebraska2025,2402_LeafPhotoB_2025-09-08 10_42_01.773,2402,,1.5,,1.5,,
Nebraska2025,2403_LeafPhotoB_2025-09-08 10_42_32.001,2403,PI533948,1.5,,1.5,,
Nebraska2025,2403_LeafPhotoB_2025-09-08 10_42_47.252,2403,PI533948,2.5,,2.5,,
Nebraska2025,2403_LeafPhotoB_2025-09-08 10_42_57.989,2403,PI533948,1.5,,1.5,,
Nebraska2025,2403_LeafPhotoB_2025-09-08 10_42_58.623,2403,PI533948,1.5,1.0,1.25,,
Nebraska2025,2404_LeafPhotoB_2025-09-08 10_43_18.818,2404,SC0156,2.5,,2.5,,
Nebraska2025,2404_LeafPhotoB_2025-09-08 10_43_34.946,2404,SC0156,1.5,1.5,1.5,,
Nebraska2025,2404_LeafPhotoB_2025-09-08 10_44_08.041,2404,SC0156,3.0,3.5,3.25,,
Nebraska2025,2405_LeafPhotoB_2025-09-08 10_44_24.813,2405,PI576382,2.0,2.5,2.25,,
Nebraska2025,2405_LeafPhotoB_2025-09-08 10_44_46.792,2405,PI576382,2.5,,2.5,,
Nebraska2025,2405_LeafPhotoB_2025-09-08 10_45_12.850,2405,PI576382,3.0,,3.0,,
Nebraska2025,2406_LeafPhotoB_2025-09-08 10_45_27.535,2406,PI534063,1.0,,1.0,,
Nebraska2025,2406_LeafPhotoB_2025-09-08 10_45_37.419,2406,PI534063,2.5,,2.5,,
Nebraska2025,2406_LeafPhotoB_2025-09-08 10_45_50.938,2406,PI534063,1.5,,1.5,,
Nebraska2025,2407_LeafPhotoB_2025-09-08 10_46_11.638,2407,PI534015,1.5,,1.5,,
Nebraska2025,2407_LeafPhotoB_2025-09-08 10_46_25.065,2407,PI534015,2.0,,2.0,,
Nebraska2025,2407_LeafPhotoB_2025-09-08 10_46_44.216,2407,PI534015,2.5,,2.5,,
Nebraska2025,2408_LeafPhotoB_2025-09-08 10_47_09.777,2408,PI574455,2.0,,2.0,,
Nebraska2025,2408_LeafPhotoB_2025-09-08 10_47_28.230,2408,PI574455,2.0,,2.0,,
Nebraska2025,2408_LeafPhotoB_2025-09-08 10_47_42.863,2408,PI574455,2.5,,2.5,,
Nebraska2025,2409_LeafPhotoB_2025-09-08 10_48_08.751,2409,PI534020,3.0,2.5,2.75,,
Nebraska2025,2409_LeafPhotoB_2025-09-08 10_48_23.553,2409,PI534020,3.5,,3.5,,
Nebraska2025,2409_LeafPhotoB_2025-09-08 10_48_46.713,2409,PI534020,3.0,,3.0,,
Nebraska2025,2410_LeafPhotoB_2025-09-08 10_49_17.609,2410,PI656102,3.0,,3.0,,
Nebraska2025,2410_LeafPhotoB_2025-09-08 10_49_34.518,2410,PI656102,3.0,,3.0,,
Nebraska2025,2410_LeafPhotoB_2025-09-08 10_49_47.847,2410,PI656102,3.0,,3.0,,
Nebraska2025,2411_LeafPhotoB_2025-09-08 10_50_22.704,2411,PI585291,1.5,,1.5,,
Nebraska2025,2411_LeafPhotoB_2025-09-08 10_50_33.943,2411,PI585291,1.5,,1.5,,
Nebraska2025,2411_LeafPhotoB_2025-09-08 10_51_05.721,2411,PI585291,1.0,,1.0,,
Nebraska2025,2412_LeafPhotoB_2025-09-08 10_51_28.613,2412,PI576377,3.0,,3.0,,
Nebraska2025,2412_LeafPhotoB_2025-09-08 10_51_45.253,2412,PI576377,1.5,,1.5,The darker lesions are caused by Bipolaris sorghicola,
Nebraska2025,2412_LeafPhotoB_2025-09-08 10_51_57.035,2412,PI576377,2.5,,2.5,,
Nebraska2025,2413_LeafPhotoB_2025-09-08 10_52_14.802,2413,PI534102,2.5,,2.5,,
Nebraska2025,2413_LeafPhotoB_2025-09-08 10_52_26.660,2413,PI534102,2.5,,2.5,,
Nebraska2025,2413_LeafPhotoB_2025-09-08 10_52_41.456,2413,PI534102,1.0,,1.0,,
Nebraska2025,2414_LeafPhotoB_2025-09-08 10_52_59.257,2414,PI656111,1.5,,1.5,,
Nebraska2025,2414_LeafPhotoB_2025-09-08 10_53_14.267,2414,PI656111,2.5,,2.5,,
Nebraska2025,2414_LeafPhotoB_2025-09-08 10_53_38.899,2414,PI656111,1.5,,1.5,,
Nebraska2025,2415_LeafPhotoB_2025-09-08 10_53_58.757,2415,PI655996,2.0,,2.0,,
Nebraska2025,2415_LeafPhotoB_2025-09-08 10_54_10.848,2415,PI655996,2.0,,2.0,,
Nebraska2025,2415_LeafPhotoB_2025-09-08 10_54_22.742,2415,PI655996,2.5,,2.5,,
Nebraska2025,2416_LeafPhotoB_2025-09-08 10_54_44.073,2416,PI533880,2.0,,2.0,,
Nebraska2025,2416_LeafPhotoB_2025-09-08 10_55_01.829,2416,PI533880,2.0,,2.0,,
Nebraska2025,2416_LeafPhotoB_2025-09-08 10_55_17.707,2416,PI533880,1.5,,1.5,,
Nebraska2025,2417_LeafPhotoB_2025-09-08 10_55_37.333,2417,PI595701,2.5,,2.5,Elongated lesions are usually caused by Exserohilum turcicum,
Nebraska2025,2417_LeafPhotoB_2025-09-08 10_55_50.662,2417,PI595701,2.0,,2.0,,
Nebraska2025,2417_LeafPhotoB_2025-09-08 10_56_04.277,2417,PI595701,2.5,,2.5,,
Nebraska2025,2418_LeafPhotoB_2025-09-08 10_56_26.318,2418,PI533863,3.0,,3.0,,
Nebraska2025,2418_LeafPhotoB_2025-09-08 10_56_40.105,2418,PI533863,1.5,2.0,1.75,,
Nebraska2025,2418_LeafPhotoB_2025-09-08 10_57_05.375,2418,PI533863,2.0,,2.0,,
Nebraska2025,2419_LeafPhotoB_2025-09-08 10_57_28.297,2419,SC1097,1.5,1.5,1.5,,
Nebraska2025,2419_LeafPhotoB_2025-09-08 10_57_42.679,2419,SC1097,1.5,,1.5,,
Nebraska2025,2419_LeafPhotoB_2025-09-08 10_58_16.377,2419,SC1097,2.0,,2.0,Watery lesions bordered by veins are usually caused by bacteria,
Nebraska2025,2421_LeafPhotoB_2025-09-08 10_58_54.728,2421,SC0138,2.0,,2.0,,
Nebraska2025,2421_LeafPhotoB_2025-09-08 10_59_09.402,2421,SC0138,2.5,,2.5,,
Nebraska2025,2421_LeafPhotoB_2025-09-08 10_59_22.469,2421,SC0138,1.5,,1.5,,
Nebraska2025,2422_LeafPhotoB_2025-09-08 10_59_40.936,2422,PI533808,3.0,,3.0,,
Nebraska2025,2422_LeafPhotoB_2025-09-08 10_59_54.940,2422,PI533808,3.0,,3.0,,
Nebraska2025,2422_LeafPhotoB_2025-09-08 11_00_07.203,2422,PI533808,3.0,,3.0,,
Nebraska2025,2423_LeafPhotoB_2025-09-08 11_00_25.099,2423,PI534034,2.5,,2.5,,
Nebraska2025,2423_LeafPhotoB_2025-09-08 11_00_40.727,2423,PI534034,2.0,,2.0,,
Nebraska2025,2423_LeafPhotoB_2025-09-08 11_01_00.060,2423,PI534034,1.5,,1.5,,
Nebraska2025,2424_LeafPhotoB_2025-09-08 11_01_21.479,2424,PI534151,2.5,,2.5,,
Nebraska2025,2424_LeafPhotoB_2025-09-08 11_01_39.265,2424,PI534151,1.0,,1.0,,
Nebraska2025,2424_LeafPhotoB_2025-09-08 11_02_00.927,2424,PI534151,2.0,,2.0,,
Nebraska2025,2425_LeafPhotoB_2025-09-08 11_02_27.155,2425,PI595714,2.0,,2.0,,
Nebraska2025,2425_LeafPhotoB_2025-09-08 11_02_48.204,2425,PI595714,3.0,,3.0,,
Nebraska2025,2425_LeafPhotoB_2025-09-08 11_03_03.016,2425,PI595714,2.5,,2.5,,
Nebraska2025,2426_LeafPhotoB_2025-09-08 11_03_20.588,2426,,1.0,,1.0,,
Nebraska2025,2426_LeafPhotoB_2025-09-08 11_03_34.617,2426,,2.5,,2.5,,
Nebraska2025,2426_LeafPhotoB_2025-09-08 11_03_59.472,2426,,2.5,,2.5,,
Nebraska2025,2428_LeafPhotoB_2025-09-08 11_04_33.129,2428,PI642791,1.5,,1.5,,
Nebraska2025,2428_LeafPhotoB_2025-09-08 11_04_47.563,2428,PI642791,1.5,,1.5,,
Nebraska2025,2428_LeafPhotoB_2025-09-08 11_05_01.808,2428,PI642791,1.5,,1.5,,
Nebraska2025,2429_LeafPhotoB_2025-09-08 11_05_20.910,2429,PI656065,2.5,2.5,2.5,,
Nebraska2025,2429_LeafPhotoB_2025-09-08 11_05_54.449,2429,PI656065,2.0,,2.0,,
Nebraska2025,2429_LeafPhotoB_2025-09-08 11_06_06.696,2429,PI656065,2.0,2.5,2.25,,
Nebraska2025,2430_LeafPhotoB_2025-09-08 11_06_42.435,2430,SC0003,2.0,,2.0,,
Nebraska2025,2430_LeafPhotoB_2025-09-08 11_06_59.975,2430,SC0003,2.0,,2.0,,
Nebraska2025,2430_LeafPhotoB_2025-09-08 11_07_18.830,2430,SC0003,2.5,,2.5,,
Nebraska2025,2431_LeafPhotoB_2025-09-08 11_07_48.428,2431,PI656046,3.0,,3.0,,
Nebraska2025,2431_LeafPhotoB_2025-09-08 11_08_07.315,2431,PI656046,3.5,,3.5,,
Nebraska2025,2431_LeafPhotoB_2025-09-08 11_08_35.233,2431,PI656046,3.5,,3.5,,
Nebraska2025,2432_LeafPhotoB_2025-09-08 11_08_55.037,2432,PI656004,1.0,,1.0,,
Nebraska2025,2432_LeafPhotoB_2025-09-08 11_09_13.961,2432,PI656004,1.5,,1.5,,
Nebraska2025,2432_LeafPhotoB_2025-09-08 11_09_28.923,2432,PI656004,1.5,1.0,1.25,,
Nebraska2025,2433_LeafPhotoB_2025-09-08 11_09_46.410,2433,PI595735,1.5,1.5,1.5,,
Nebraska2025,2433_LeafPhotoB_2025-09-08 11_10_01.520,2433,PI595735,1.5,,1.5,,
Nebraska2025,2433_LeafPhotoB_2025-09-08 11_10_18.612,2433,PI595735,1.0,,1.0,,
Nebraska2025,2434_LeafPhotoB_2025-09-08 11_10_38.584,2434,PI153852,2.5,,2.5,,
Nebraska2025,2434_LeafPhotoB_2025-09-08 11_10_53.702,2434,PI153852,1.5,1.5,1.5,,
Nebraska2025,2434_LeafPhotoB_2025-09-08 11_11_09.497,2434,PI153852,2.5,,2.5,,
Nebraska2025,2435_LeafPhotoB_2025-09-08 11_11_33.781,2435,PI641849,3.0,,3.0,,
Nebraska2025,2435_LeafPhotoB_2025-09-08 11_11_49.728,2435,PI641849,2.5,,2.5,,
Nebraska2025,2435_LeafPhotoB_2025-09-08 11_12_07.370,2435,PI641849,1.5,,1.5,,
Nebraska2025,2436_LeafPhotoB_2025-09-08 11_12_23.591,2436,PI533911,1.5,,1.5,,
Nebraska2025,2436_LeafPhotoB_2025-09-08 11_12_35.180,2436,PI533911,1.5,1.5,1.5,,
Nebraska2025,2436_LeafPhotoB_2025-09-08 11_12_52.698,2436,PI533911,1.5,1.5,1.5,,
Nebraska2025,2437_LeafPhotoB_2025-09-08 11_13_12.248,2437,PI656090,2.0,,2.0,,
Nebraska2025,2437_LeafPhotoB_2025-09-08 11_13_30.091,2437,PI656090,2.5,,2.5,,
Nebraska2025,2437_LeafPhotoB_2025-09-08 11_13_49.474,2437,PI656090,2.5,,2.5,,
Nebraska2025,2438_LeafPhotoB_2025-09-08 11_14_12.077,2438,PI533966,3.0,,3.0,,
Nebraska2025,2438_LeafPhotoB_2025-09-08 11_14_34.150,2438,PI533966,2.0,2.5,2.25,,
Nebraska2025,2438_LeafPhotoB_2025-09-08 11_14_46.360,2438,PI533966,3.0,,3.0,,
Nebraska2025,2439_LeafPhotoB_2025-09-08 11_15_15.989,2439,PI534165,1.0,,1.0,hypersensitivity reaction,
Nebraska2025,2439_LeafPhotoB_2025-09-08 11_15_32.151,2439,PI534165,1.0,1.0,1.0,,
Nebraska2025,2439_LeafPhotoB_2025-09-08 11_15_54.973,2439,PI534165,2.5,,2.5,,
Nebraska2025,2440_LeafPhotoB_2025-09-08 11_16_19.468,2440,PI576421,3.0,,3.0,,
Nebraska2025,2440_LeafPhotoB_2025-09-08 11_16_38.840,2440,PI576421,1.0,,1.0,,
Nebraska2025,2440_LeafPhotoB_2025-09-08 11_16_55.519,2440,PI576421,3.0,,3.0,,
Nebraska2025,2441_LeafPhotoB_2025-09-08 11_17_12.000,2441,PI533821,2.0,2.0,2.0,,
Nebraska2025,2441_LeafPhotoB_2025-09-08 11_17_24.992,2441,PI533821,3.0,,3.0,,
Nebraska2025,2441_LeafPhotoB_2025-09-08 11_17_37.081,2441,PI533821,3.5,,3.5,,
Nebraska2025,2442_LeafPhotoB_2025-09-08 11_17_53.068,2442,,1.5,,1.5,,
Nebraska2025,2442_LeafPhotoB_2025-09-08 11_18_15.332,2442,,3.0,,3.0,,
Nebraska2025,2442_LeafPhotoB_2025-09-08 11_18_36.514,2442,,1.5,2.5,2.0,,
Nebraska2025,2443_LeafPhotoB_2025-09-08 11_18_59.151,2443,PI533980,2.5,,2.5,,
Nebraska2025,2443_LeafPhotoB_2025-09-08 11_19_16.215,2443,PI533980,3.0,,3.0,,
Nebraska2025,2443_LeafPhotoB_2025-09-08 11_19_31.397,2443,PI533980,2.5,,2.5,,
Nebraska2025,2444_LeafPhotoB_2025-09-08 11_19_56.783,2444,PI534084,2.0,2.5,2.25,,
Nebraska2025,2444_LeafPhotoB_2025-09-08 11_20_15.398,2444,PI534084,3.0,,3.0,,
Nebraska2025,2444_LeafPhotoB_2025-09-08 11_20_29.552,2444,PI534084,3.5,,3.5,,
Nebraska2025,2445_LeafPhotoB_2025-09-08 11_20_50.013,2445,PI534157,2.0,,2.0,,
Nebraska2025,2445_LeafPhotoB_2025-09-08 11_21_12.225,2445,PI534157,1.5,1.5,1.5,,
Nebraska2025,2445_LeafPhotoB_2025-09-08 11_21_24.959,2445,PI534157,1.5,,1.5,,
Nebraska2025,2446_LeafPhotoB_2025-09-08 11_21_40.834,2446,PI533925,2.5,3.5,3.0,,
Nebraska2025,2446_LeafPhotoB_2025-09-08 11_22_03.984,2446,PI533925,3.5,,3.5,,
Nebraska2025,2446_LeafPhotoB_2025-09-08 11_22_15.606,2446,PI533925,3.0,,3.0,,
Nebraska2025,2447_LeafPhotoB_2025-09-08 11_22_35.454,2447,PI576401,1.0,,1.0,,
Nebraska2025,2447_LeafPhotoB_2025-09-08 11_22_51.883,2447,PI576401,2.0,2.0,2.0,,
Nebraska2025,2447_LeafPhotoB_2025-09-08 11_23_12.690,2447,PI576401,2.5,,2.5,,
Nebraska2025,2449_LeafPhotoB_2025-09-08 11_23_39.370,2449,SC1021,2.0,2.0,2.0,,
Nebraska2025,2449_LeafPhotoB_2025-09-08 11_24_17.199,2449,SC1021,2.5,,2.5,,
Nebraska2025,2449_LeafPhotoB_2025-09-08 11_24_42.137,2449,SC1021,2.5,,2.5,,
Nebraska2025,2450_LeafPhotoB_2025-09-08 11_25_14.788,2450,PI533957,2.0,,2.0,,
Nebraska2025,2450_LeafPhotoB_2025-09-08 11_25_27.986,2450,PI533957,1.5,1.5,1.5,,
Nebraska2025,2450_LeafPhotoB_2025-09-08 11_25_41.315,2450,PI533957,1.5,1.0,1.25,,
Nebraska2025,2451_LeafPhotoB_2025-09-08 11_29_15.932,2451,PI576351,2.0,2.0,2.0,,
Nebraska2025,2451_LeafPhotoB_2025-09-08 11_29_33.928,2451,PI576351,2.5,,2.5,,
Nebraska2025,2451_LeafPhotoB_2025-09-08 11_29_50.007,2451,PI576351,3.0,,3.0,,
Nebraska2025,2452_LeafPhotoB_2025-09-08 11_30_12.684,2452,PI534089,2.5,,2.5,,
Nebraska2025,2452_LeafPhotoB_2025-09-08 11_30_25.968,2452,PI534089,2.0,,2.0,,
Nebraska2025,2452_LeafPhotoB_2025-09-08 11_30_37.130,2452,PI534089,2.5,,2.5,,
Nebraska2025,2453_LeafPhotoB_2025-09-08 11_30_51.747,2453,PI607931,1.5,2.0,1.75,,
Nebraska2025,2453_LeafPhotoB_2025-09-08 11_31_03.660,2453,PI607931,3.0,,3.0,,
Nebraska2025,2453_LeafPhotoB_2025-09-08 11_31_31.055,2453,PI607931,1.5,1.5,1.5,,
Nebraska2025,2454_LeafPhotoB_2025-09-08 11_31_56.448,2454,PI656105,1.0,,1.0,,
Nebraska2025,2454_LeafPhotoB_2025-09-08 11_32_15.386,2454,PI656105,3.0,,3.0,,
Nebraska2025,2454_LeafPhotoB_2025-09-08 11_32_34.940,2454,PI656105,2.5,,2.5,,
Nebraska2025,2455_LeafPhotoB_2025-09-08 11_32_47.648,2455,PI534142,4.0,4.0,4.0,,
Nebraska2025,2455_LeafPhotoB_2025-09-08 11_33_04.409,2455,PI534142,3.5,,3.5,,
Nebraska2025,2455_LeafPhotoB_2025-09-08 11_33_17.904,2455,PI534142,4.0,,4.0,,
Nebraska2025,2456_LeafPhotoB_2025-09-08 11_33_40.566,2456,PI656019,3.0,,3.0,,
Nebraska2025,2456_LeafPhotoB_2025-09-08 11_33_58.568,2456,PI656019,2.5,,2.5,,
Nebraska2025,2456_LeafPhotoB_2025-09-08 11_34_19.278,2456,PI656019,2.5,,2.5,,
Nebraska2025,2457_LeafPhotoB_2025-09-08 11_34_42.688,2457,PI597946,3.0,,3.0,,
Nebraska2025,2457_LeafPhotoB_2025-09-08 11_34_58.036,2457,PI597946,2.5,,2.5,,
Nebraska2025,2457_LeafPhotoB_2025-09-08 11_35_12.164,2457,PI597946,3.0,,3.0,,
Nebraska2025,2458_LeafPhotoB_2025-09-08 11_35_26.865,2458,SC0542,1.5,1.0,1.25,,
Nebraska2025,2458_LeafPhotoB_2025-09-08 11_35_48.169,2458,SC0542,2.0,,2.0,,
Nebraska2025,2458_LeafPhotoB_2025-09-08 11_36_10.536,2458,SC0542,2.5,,2.5,,
Nebraska2025,2459_LeafPhotoB_2025-09-08 11_36_28.099,2459,PI533870,2.5,,2.5,,
Nebraska2025,2459_LeafPhotoB_2025-09-08 11_36_49.568,2459,PI533870,3.0,,3.0,,
Nebraska2025,2459_LeafPhotoB_2025-09-08 11_37_09.757,2459,PI533870,2.5,,2.5,,
Nebraska2025,2460_LeafPhotoB_2025-09-08 11_37_28.626,2460,PI659753,1.5,2.0,1.75,,
Nebraska2025,2460_LeafPhotoB_2025-09-08 11_37_49.196,2460,PI659753,3.0,,3.0,,
Nebraska2025,2460_LeafPhotoB_2025-09-08 11_38_12.910,2460,PI659753,2.5,,2.5,,
Nebraska2025,2461_LeafPhotoB_2025-09-08 11_38_28.563,2461,PI533933,1.5,,1.5,,
Nebraska2025,2461_LeafPhotoB_2025-09-08 11_38_43.859,2461,PI533933,2.0,2.0,2.0,,
Nebraska2025,2461_LeafPhotoB_2025-09-08 11_38_57.202,2461,PI533933,2.5,,2.5,,
Nebraska2025,2462_LeafPhotoB_2025-09-08 11_39_17.131,2462,PI656071,2.0,,2.0,,
Nebraska2025,2462_LeafPhotoB_2025-09-08 11_39_36.705,2462,PI656071,3.0,,3.0,,
Nebraska2025,2462_LeafPhotoB_2025-09-08 11_39_52.765,2462,PI656071,3.0,,3.0,,
Nebraska2025,2463_LeafPhotoB_2025-09-08 11_40_13.151,2463,PI534156,2.5,,2.5,,
Nebraska2025,2463_LeafPhotoB_2025-09-08 11_40_37.342,2463,PI534156,2.0,,2.0,,
Nebraska2025,2463_LeafPhotoB_2025-09-08 11_41_05.461,2463,PI534156,2.0,2.0,2.0,,
Nebraska2025,2464_LeafPhotoB_2025-09-08 11_41_27.674,2464,PI576343,3.0,,3.0,,
Nebraska2025,2464_LeafPhotoB_2025-09-08 11_41_40.408,2464,PI576343,2.5,3.0,2.75,,
Nebraska2025,2464_LeafPhotoB_2025-09-08 11_41_58.706,2464,PI576343,1.5,,1.5,Lesions bordered by veins are usually caused by bacteria,
Nebraska2025,2466_LeafPhotoB_2025-09-08 11_42_42.225,2466,PI656076,1.0,1.0,1.0,,
Nebraska2025,2466_LeafPhotoB_2025-09-08 11_43_07.816,2466,PI656076,1.0,,1.0,,
Nebraska2025,2466_LeafPhotoB_2025-09-08 11_43_32.013,2466,PI656076,1.5,,1.5,,
Nebraska2025,2467_LeafPhotoB_2025-09-08 11_43_53.177,2467,PI533839,1.5,,1.5,,
Nebraska2025,2467_LeafPhotoB_2025-09-08 11_44_04.738,2467,PI533839,2.5,,2.5,,
Nebraska2025,2467_LeafPhotoB_2025-09-08 11_44_24.631,2467,PI533839,2.0,,2.0,,
Nebraska2025,2468_LeafPhotoB_2025-09-08 11_44_50.567,2468,PI533844,1.5,,1.5,,
Nebraska2025,2468_LeafPhotoB_2025-09-08 11_45_06.529,2468,PI533844,1.0,,1.0,,
Nebraska2025,2468_LeafPhotoB_2025-09-08 11_45_18.676,2468,PI533844,2.0,,2.0,,
Nebraska2025,2469_LeafPhotoB_2025-09-08 11_45_54.424,2469,PI576425,1.5,2.0,1.75,,
Nebraska2025,2469_LeafPhotoB_2025-09-08 11_46_05.633,2469,PI576425,1.5,,1.5,,
Nebraska2025,2469_LeafPhotoB_2025-09-08 11_46_21.698,2469,PI576425,1.5,1.5,1.5,,
